convex,smooth,brown,yes,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,black,scattered,urban,poisonous
convex,smooth,yellow,yes,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,numerous,grasses,edible
bell,smooth,white,yes,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,numerous,meadows,edible
convex,scaly,white,yes,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,black,scattered,urban,poisonous
convex,smooth,gray,no,none,free,crowded,broad,black,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,brown,abundant,grasses,edible
convex,scaly,yellow,yes,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,numerous,grasses,edible
bell,smooth,white,yes,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,numerous,meadows,edible
bell,scaly,white,yes,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,meadows,edible
convex,scaly,white,yes,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,black,several,grasses,poisonous
bell,smooth,yellow,yes,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,scattered,meadows,edible
convex,scaly,yellow,yes,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,numerous,grasses,edible
convex,scaly,yellow,yes,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,scattered,meadows,edible
bell,smooth,yellow,yes,almond,free,close,broad,b'w',enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,grasses,edible
convex,scaly,white,yes,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,several,urban,poisonous
convex,fibrous,brown,no,none,free,crowded,broad,brown,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,black,abundant,grasses,edible
sunken,fibrous,gray,no,none,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,solitary,urban,edible
flat,fibrous,white,no,none,free,crowded,broad,black,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,brown,abundant,grasses,edible
convex,smooth,brown,yes,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,black,scattered,grasses,poisonous
convex,scaly,white,yes,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,urban,poisonous
convex,smooth,brown,yes,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,urban,poisonous
bell,smooth,yellow,yes,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,meadows,edible
convex,scaly,brown,yes,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,several,grasses,poisonous
bell,scaly,yellow,yes,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,meadows,edible
bell,scaly,white,yes,almond,free,close,broad,b'w',enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,numerous,meadows,edible
bell,smooth,white,yes,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,scattered,meadows,edible
flat,smooth,white,yes,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,several,grasses,poisonous
convex,scaly,red,no,spicy,attached,close,narrow,black,tapering,unequal,smooth,smooth,white,white,partial,white,one,pendant,red,several,woods,poisonous
flat,fibrous,orange,no,none,attached,close,broad,brown,enlarging,clubbed,scaly,silky,yellow,yellow,partial,yellow,one,free,brown,numerous,meadows,poisonous
convex,smooth,yellow,no,none,free,close,broad,brown,enlarging,clubbed,smooth,smooth,white,white,partial,white,one,pendant,black,scattered,urban,edible
bell,scaly,white,no,none,free,close,narrow,black,tapering,unequal,fibrous,silky,yellow,yellow,partial,yellow,one,free,red,several,grasses,poisonous
flat,smooth,brown,no,spicy,free,close,broad,brown,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,numerous,woods,edible
bell,scaly,white,no,anise,free,close,broad,black,tapering,unequal,smooth,smooth,white,white,partial,white,one,pendant,brown,numerous,urban,edible
flat,smooth,brown,no,none,free,close,broad,brown,enlarging,clubbed,smooth,smooth,white,white,partial,white,one,free,red,several,grasses,edible
flat,fibrous,yellow,no,none,free,close,broad,brown,tapering,unequal,smooth,smooth,white,white,partial,white,one,pendant,brown,several,woods,edible
convex,scaly,red,no,spicy,free,close,narrow,brown,enlarging,clubbed,scaly,silky,yellow,yellow,partial,yellow,one,pendant,brown,scattered,meadows,poisonous
bell,smooth,white,no,none,free,close,narrow,black,tapering,unequal,smooth,smooth,white,white,partial,white,one,pendant,red,numerous,urban,edible
convex,fibrous,brown,no,none,free,crowded,broad,red,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,black,abundant,urban,edible
sunken,smooth,brown,yes,almond,attached,n/a,flat,brown,enlarging,equal,scaly,smooth,white,brown,partial,white,one,pendant,black,scattered,meadows,edible
convex,smooth,white,no,none,free,crowded,broad,brown,enlarging,equal,silky,smooth,white,brown,partial,white,one,pendant,brown,scattered,urban,edible
sunken,fibrous,white,no,none,free,crowded,broad,brown,tapering,equal,smooth,smooth,yellow,white,partial,white,one,evanescent,brown,abundant,grasses,edible
flat,scaly,red,yes,pungent,free,close,narrow,white,club,smooth,smooth,smooth,yellow,white,partial,white,one,pendant,black,solitary,urban,poisonous
convex,fibrous,yellow,no,none,free,crowded,narrow,red,tapering,equal,scaly,fibrous,white,brown,partial,white,one,pendant,brown,abundant,meadows,edible
flat,crispy,sweet,no,medium,free,close,narrow,green,tapering,equal,smooth,smooth,white,white,partial,white,one,pendant,black,abundant,orchard,edible
flat,smooth,yellow,yes,none,attached,crowded,broad,red,none,equal,scaly,fibrous,white,white,partial,white,one,pendant,brown,solitary,forest,edible
bell,spongy,gray,no,foul,free,close,narrow,brown,club,equal,scaly,scaly,yellow,yellow,partial,yellow,one,evanescent,brown,scattered,meadows,poisonous
convex,fibrous,brown,no,foul,free,close,broad,brown,club,equal,smooth,smooth,white,white,partial,white,one,pendant,black,abundant,forest,edible
sunken,crispy,green,no,none,free,close,narrow,red,enlarging,equal,smooth,smooth,white,white,partial,white,one,evanescent,brown,scattered,orchard,edible
flat,fibrous,white,yes,none,free,close,narrow,green,tapering,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,abundant,orchard,edible
